Age:30-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:30-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:30-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:30-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:30-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:29-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:29-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:30-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:30-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:30-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:29-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:29-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:29-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:29-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:29-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:28-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:28-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:28-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:28-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:29-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:30-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:30-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:30-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:30-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:30-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:29-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:30-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:30-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:30-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:29-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:29-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:30-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:29-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:29-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:29-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:29-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:29-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:29-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:29-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:29-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:29-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:29-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:29-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:29-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:30-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:30-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:31-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:32-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:32-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:31-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:31-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:32-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
Age:32-Gender:man-Id:3074948-Emotion:NE-RotaPla:Normal-NumPeo:1-NeighorInf:[{'Left': 0, 'Right': 0}, 0, 0]
